Title,Celebrities,Movie Reference,Release Date,Imdb Rating
Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",https://www.imdb.com/title/tt0095016/,1988,8.2
Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",https://www.imdb.com/title/tt0071853/,1975,8.2
Rashômon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",https://www.imdb.com/title/tt0042876/,1950,8.2
Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",https://www.imdb.com/title/tt0055630/,1961,8.2
Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",https://www.imdb.com/title/tt0372784/,2005,8.2
Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",https://www.imdb.com/title/tt6966692/,2018,8.2
Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",https://www.imdb.com/title/tt0363163/,2004,8.2
Bacheha-Ye aseman,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",https://www.imdb.com/title/tt0118849/,1997,8.2
Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",https://www.imdb.com/title/tt0105695/,1992,8.2
Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",https://www.imdb.com/title/tt0089881/,1985,8.2
Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",https://www.imdb.com/title/tt0053291/,1959,8.2
Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",https://www.imdb.com/title/tt0347149/,2004,8.2
A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",https://www.imdb.com/title/tt0268978/,2001,8.2
All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",https://www.imdb.com/title/tt0042192/,1950,8.2
Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",https://www.imdb.com/title/tt0112641/,1995,8.2
The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",https://www.imdb.com/title/tt0057115/,1963,8.2
The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",https://www.imdb.com/title/tt0993846/,2013,8.2
Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",https://www.imdb.com/title/tt0457430/,2006,8.2
El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",https://www.imdb.com/title/tt1305806/,2009,8.1
"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",https://www.imdb.com/title/tt0120735/,1998,8.1
Anand,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",https://www.imdb.com/title/tt0066763/,1971,8.1
Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",https://www.imdb.com/title/tt0081398/,1980,8.1
